number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_lr,params_rot_inv,state
156,0.0470333956182003,2022-10-12 18:14:29.488288,2022-10-12 18:32:15.152524,0 days 00:17:45.664236,60,16,0.0004272971598855114,0,COMPLETE
157,0.0425020232796669,2022-10-12 18:26:14.109797,2022-10-12 18:46:34.736885,0 days 00:20:20.627088,60,18,0.000422473582451228,0,COMPLETE
158,0.04846970736980438,2022-10-12 18:26:44.216302,2022-10-12 18:46:50.471704,0 days 00:20:06.255402,53,18,0.00043506525086266375,0,COMPLETE
159,0.052176520228385925,2022-10-12 18:28:43.899655,2022-10-12 18:41:03.024999,0 days 00:12:19.125344,64,11,0.00042798481517859126,0,COMPLETE
160,0.04437651485204697,2022-10-12 18:32:03.257661,2022-10-12 18:44:48.661695,0 days 00:12:45.404034,64,11,0.0008487775055270675,0,COMPLETE
161,0.039456501603126526,2022-10-12 18:32:15.246174,2022-10-12 18:52:04.265111,0 days 00:19:49.018937,64,18,0.0008580564622655264,0,COMPLETE
162,0.06733954697847366,2022-10-12 18:41:03.092557,2022-10-12 18:55:14.060446,0 days 00:14:10.967889,56,18,0.0008253428552534946,1,COMPLETE
163,0.06511141359806061,2022-10-12 18:44:48.756012,2022-10-12 18:59:22.768612,0 days 00:14:34.012600,53,18,0.001159287140591227,1,COMPLETE
164,0.07170463353395462,2022-10-12 18:46:34.838063,2022-10-12 19:00:25.068486,0 days 00:13:50.230423,58,17,0.0002824483126002734,1,COMPLETE
165,0.033940576016902924,2022-10-12 18:46:50.572134,2022-10-12 19:06:53.420419,0 days 00:20:02.848285,56,18,0.0007337744033671127,0,COMPLETE
166,0.03587886691093445,2022-10-12 18:52:04.335284,2022-10-12 19:12:04.676812,0 days 00:20:00.341528,56,18,0.0006692757342709157,0,COMPLETE
167,0.04121692478656769,2022-10-12 18:55:14.127739,2022-10-12 19:14:05.415634,0 days 00:18:51.287895,58,17,0.0006353051136023132,0,COMPLETE
168,0.040700484067201614,2022-10-12 18:59:22.857920,2022-10-12 19:18:39.727140,0 days 00:19:16.869220,58,17,0.0006651272170650469,0,COMPLETE
169,0.03866055980324745,2022-10-12 19:00:25.782190,2022-10-12 19:19:47.841243,0 days 00:19:22.059053,56,17,0.0006184315612757482,0,COMPLETE
170,0.03719541057944298,2022-10-12 19:06:53.574269,2022-10-12 19:25:52.776322,0 days 00:18:59.202053,56,17,0.0006471621916327998,0,COMPLETE
171,0.03595886006951332,2022-10-12 19:12:04.749218,2022-10-12 19:33:10.330303,0 days 00:21:05.581085,56,19,0.0006385079612028744,0,COMPLETE
172,0.03643064200878143,2022-10-12 19:14:05.483506,2022-10-12 19:34:01.325100,0 days 00:19:55.841594,56,18,0.0007098181068493395,0,COMPLETE
